calendar week,year of death,week of death,age group 00 - 09,age group 10 - 19,age group 20 - 29,age group 30 - 39,age group 40 - 49,age group 50 - 59,age group 60 - 69,age group 70 - 79,age group 80 - 89,age group 90+,sum of cases,age group 00 - 09 (%),age group 10 - 19 (%),age group 20 - 29 (%),age group 30 - 39 (%),age group 40 - 49 (%),age group 50 - 59 (%),age group 60 - 69 (%),age group 70 - 79 (%),age group 80 - 89 (%),age group 90+ (%)
2021 - 06,2021,6,0,0,2,2,8,82,222,547,1261,542,2666,0.0,0.0,0.07501875468867217,0.07501875468867217,0.30007501875468867,3.075768942235559,8.32708177044261,20.517629407351837,47.2993248312078,20.330082520630157
2021 - 07,2021,7,0,2,0,2,13,67,171,447,851,447,2000,0.0,0.1,0.0,0.1,0.65,3.35,8.55,22.35,42.55,22.35
2021 - 08,2021,8,0,0,2,7,14,61,158,366,785,295,1688,0.0,0.0,0.11848341232227488,0.4146919431279621,0.8293838862559242,3.6137440758293837,9.360189573459715,21.6824644549763,46.50473933649289,17.476303317535542
2021 - 09,2021,9,2,0,0,11,10,42,156,309,618,197,1345,0.14869888475836432,0.0,0.0,0.8178438661710037,0.7434944237918215,3.1226765799256504,11.598513011152416,22.973977695167285,45.94795539033457,14.646840148698884
2021 - 10,2021,10,2,2,2,14,9,43,139,282,525,202,1220,0.16393442622950818,0.16393442622950818,0.16393442622950818,1.1475409836065573,0.7377049180327869,3.524590163934426,11.39344262295082,23.114754098360656,43.0327868852459,16.557377049180328
2021 - 11,2021,11,0,0,2,6,15,57,130,257,469,170,1106,0.0,0.0,0.18083182640144665,0.5424954792043399,1.3562386980108498,5.15370705244123,11.754068716094032,23.236889692585898,42.405063291139236,15.370705244122965
2021 - 12,2021,12,0,2,2,2,18,65,155,272,468,180,1164,0.0,0.1718213058419244,0.1718213058419244,0.1718213058419244,1.5463917525773196,5.5841924398625435,13.316151202749142,23.367697594501717,40.20618556701031,15.463917525773196
2021 - 13,2021,13,0,2,2,19,27,84,178,330,547,152,1341,0.0,0.14914243102162564,0.14914243102162564,1.4168530947054436,2.013422818791946,6.263982102908278,13.273676360924682,24.60850111856823,40.790454884414615,11.334824757643549
2021 - 14,2021,14,0,0,2,7,26,79,205,385,572,202,1478,0.0,0.0,0.13531799729364005,0.4736129905277402,1.7591339648173208,5.345060893098782,13.870094722598106,26.04871447902571,38.700947225981054,13.667117726657645
2021 - 15,2021,15,0,0,2,6,20,92,261,419,511,153,1464,0.0,0.0,0.1366120218579235,0.4098360655737705,1.366120218579235,6.284153005464481,17.827868852459016,28.620218579234972,34.904371584699454,10.450819672131148
2021 - 16,2021,16,0,2,4,8,19,116,252,465,503,175,1544,0.0,0.1295336787564767,0.2590673575129534,0.5181347150259068,1.2305699481865284,7.512953367875648,16.321243523316063,30.11658031088083,32.57772020725388,11.33419689119171
2021 - 17,2021,17,2,2,2,6,32,104,235,470,505,147,1505,0.132890365448505,0.132890365448505,0.132890365448505,0.3986710963455149,2.12624584717608,6.910299003322259,15.614617940199334,31.22923588039867,33.5548172757475,9.767441860465116
2021 - 18,2021,18,0,0,2,17,33,119,235,399,423,137,1365,0.0,0.0,0.14652014652014653,1.2454212454212454,2.417582417582418,8.717948717948717,17.216117216117215,29.230769230769234,30.98901098901099,10.036630036630036
2021 - 19,2021,19,0,2,4,8,22,92,201,318,322,116,1085,0.0,0.18433179723502305,0.3686635944700461,0.7373271889400922,2.0276497695852536,8.479262672811059,18.525345622119815,29.308755760368665,29.677419354838708,10.691244239631336
2021 - 20,2021,20,2,0,2,5,27,83,153,273,228,79,852,0.2347417840375587,0.0,0.2347417840375587,0.5868544600938966,3.169014084507042,9.741784037558686,17.95774647887324,32.04225352112676,26.76056338028169,9.272300469483568
2021 - 21,2021,21,0,0,2,4,12,59,108,192,189,61,627,0.0,0.0,0.3189792663476874,0.6379585326953748,1.9138755980861244,9.409888357256778,17.22488038277512,30.62200956937799,30.14354066985646,9.728867623604467
2021 - 22,2021,22,0,0,0,2,14,39,86,113,128,34,416,0.0,0.0,0.0,0.4807692307692308,3.3653846153846154,9.375,20.673076923076923,27.163461538461537,30.76923076923077,8.173076923076923
