date,RKI reporting date,cases cumulative,cases,deaths cumulative,deaths,case fatility rate (CFR),non-deceased reported cases,cases (mean of ±3 days),deaths (mean of ±3 days),R0 by cases (mean of ±3 days),daily proportionate increase of cases (mean of ±3 days),cases last 7 days,deaths last 7 days,"7 day incidence per 100,000 inhabitants","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants","7 day deaths per 1,000,000 inhabitants","7 day deaths (by cases (mean of ±3 days)) per 1,000,000 inhabitants","cases (mean of ±3 days) by reference date (start of illness, alternatively reporting date)","deaths (mean of ±3 days) by reference date (start of illness, alternatively reporting date)",cases (mean of ±3 days) by reporting date,deaths (mean of ±3 days) by reporting date,"7 day incidence per 100,000 inhabitants by reporting date (RKI version)","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants by reporting date (RKI version)",R value by cases (mean of ±3 days),cases last 365 days,deaths last 365 days,cases with reported start of illness (mean of ±3 days),R value by cases with reported start of illness (mean of ±3 days),"cases by reference date (start of illness, alternatively reporting date)",cases by reporting date,"new reported cases by reference date (start of illness, alternatively reporting date)",new reported cases by reporting date,"deaths by reference date (start of illness, alternatively reporting date)",deaths by reporting date,"new reported deaths by reference date (start of illness, alternatively reporting date)",new reported deaths by reporting date,new reported cases with known start of illness,new reported cases with unknown start of illness (reporting date),new reported deaths with known start of illness,new reported deaths with unknown start of illness (reporting date),cases with reported start of illness,cases with unknown start of illness (reporting date),deaths with reported start of illness,deaths with unknown start of illness (reporting date)
2020-08-01,2020-08-02,209893.0,240.0,9141.0,-7.0,0.0435507615785185,200752.0,728.0,5.714285714285714,1.0989826316676972,1.0113117682079777,4624.0,23.0,5.559916875875974,5.7055795523077215,0.27655295879140873,0.3778984530068939,783.0,5.142857142857143,756.2857142857143,5.571428571428571,5.69699095110302,5.795416320908907,1.0989826316676972,209877.0,9141.0,425.85714285714283,1.0859839546956114,694.0,561.0,,,1.0,1.0,,,,,,,425.0,269.0,1.0,
2020-08-02,2020-08-03,210402.0,509.0,9148.0,7.0,0.0434786741570897,201254.0,748.4285714285714,5.857142857142857,1.1027449693788276,1.028061224489796,4793.0,30.0,5.763123180379226,5.839389959076982,0.36072125059748966,0.3916402149344173,815.0,4.571428571428571,784.8571428571429,5.285714285714286,5.8100169429569,5.975776946207652,1.1027449693788276,210386.0,9148.0,436.57142857142856,1.1027269331341052,562.0,305.0,,,2.0,1.0,,,,,,,398.0,164.0,2.0,
2020-08-03,2020-08-04,211281.0,879.0,9156.0,8.0,0.0433356525196302,202125.0,788.0,6.0,1.1218516728424897,1.052872685627028,5039.0,34.0,6.058914605869168,6.0113337551951185,0.4088174173438216,0.41225285782570253,860.0,4.428571428571429,828.5714285714286,5.428571428571429,6.134666068494641,6.180185654879561,1.1218516728424897,211265.0,9156.0,444.14285714285717,1.1052824315664194,913.0,797.0,,,4.0,8.0,,,,,,,542.0,371.0,3.0,1.0
2020-08-04,2020-08-05,212022.0,741.0,9168.0,12.0,0.043240795766477,202854.0,811.8571428571429,6.714285714285714,1.1247845390441369,1.0302755620014503,5096.0,40.0,6.127451643482691,6.182075147144597,0.48096166746331953,0.4414541019216897,888.7142857142857,3.0,841.7142857142857,4.285714285714286,6.365527668877034,6.381674239141874,1.1247845390441369,212006.0,9168.0,458.7142857142857,1.1045856798069187,939.0,947.0,,,4.0,6.0,,,,,,,459.0,480.0,3.0,1.0
2020-08-05,2020-08-06,213067.0,1045.0,9175.0,7.0,0.0430615721815203,203892.0,856.8571428571429,7.857142857142857,1.147504091653028,1.0554284708780575,5239.0,41.0,6.299395439600828,6.418089908249812,0.49298570914990253,0.49642114963178335,908.4285714285714,3.4285714285714284,863.1428571428571,4.428571428571429,6.606008502608693,6.605664958560506,1.1475040916530281,213051.0,9175.0,462.7142857142857,1.096384495046063,1001.0,1110.0,,,1.0,3.0,,,,,,,462.0,539.0,,1.0
2020-08-06,2020-08-07,214214.0,1147.0,9183.0,8.0,0.0428683466066643,205031.0,846.4285714285714,7.0,1.146526503694154,0.9878292764254751,5516.0,42.0,6.632461394319176,6.612535839524267,0.5050097508364855,0.5290578342096516,916.1428571428571,3.5714285714285716,865.2857142857143,4.571428571428571,6.973944178218133,6.816085688075709,1.1465265036941539,214198.0,9183.0,468.42857142857144,1.0872289972899731,1064.0,1166.0,,,4.0,6.0,,,,,,,438.0,626.0,3.0,1.0
2020-08-07,2020-08-08,215336.0,1122.0,9195.0,12.0,0.0427007095887357,206141.0,858.8571428571429,6.428571428571429,1.1305887984681666,1.0146835443037976,5683.0,47.0,6.833262890485113,6.7796700189677725,0.5651299592694005,0.5479527568599962,965.8571428571429,4.142857142857143,909.0,3.7142857142857144,7.084565361734696,7.032690210458296,1.1305887984681666,215320.0,9195.0,486.85714285714283,1.0881305392197467,1048.0,1006.0,,,5.0,5.0,,,,,,,487.0,561.0,1.0,4.0
2020-08-08,2020-08-09,215891.0,555.0,9196.0,1.0,0.0425955690603128,206695.0,928.1428571428571,5.571428571428571,1.1345778768459178,1.080671989354624,5998.0,55.0,7.212020203612476,7.0203226247235255,0.6613222927620644,0.5462350366190558,1007.5714285714286,4.142857142857143,944.5714285714286,3.142857142857143,7.2649259870334415,7.259085738214245,1.1345778768459178,215875.0,9196.0,500.7142857142857,1.0869142995872785,832.0,711.0,,,4.0,2.0,,,,,,,453.0,379.0,3.0,1.0
2020-08-09,2020-08-10,216327.0,436.0,9197.0,1.0,0.0425143417141642,207130.0,985.2857142857143,5.142857142857143,1.1290336958459617,1.0615668770201632,5925.0,49.0,7.124244699300421,7.305120640671448,0.5891780426425665,0.5376464354143536,1072.5714285714287,5.142857142857143,1006.1428571428571,4.142857142857143,7.2829620495633165,7.525160603535917,1.1290336958459617,216311.0,9197.0,519.8571428571429,1.0963931827189852,616.0,320.0,,,3.0,2.0,,,,,,,438.0,178.0,3.0,
2020-08-10,2020-08-11,217293.0,966.0,9201.0,4.0,0.0423437478427745,208092.0,1028.4285714285713,6.0,1.1506357581524087,1.0437871538350005,6012.0,45.0,7.228853861973693,7.594212957221723,0.5410818758962345,0.5376464354143536,1121.7142857142858,5.428571428571429,1052.4285714285713,3.5714285714285716,7.650897725172756,7.794327365291281,1.1506357581524087,217277.0,9201.0,541.8571428571429,1.117385885651971,1261.0,1103.0,,,8.0,2.0,,,,,,,671.0,590.0,7.0,1.0
