date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-09-30,2530.0,2465.0,2594.0,1.19,1.17,1.2,2563.4285714285716,1.166601996543088,3727.0,3654.0,3799.0,1.38,1.37,1.39,3792.1428571428573,1.347315819531696,1.3159167876149005,1.3410868321217386
2020-10-01,2806.0,2734.0,2877.0,1.23,1.22,1.24,2745.5714285714284,1.1984121552255151,4082.0,4005.0,4161.0,1.39,1.38,1.4,4082.5714285714284,1.3654917999919804,1.347315819531696,1.3236134766351482
2020-10-02,2983.0,2911.0,3051.0,1.28,1.26,1.29,2968.8571428571427,1.2367263951335625,4471.0,4389.0,4551.0,1.38,1.37,1.4,4370.285714285715,1.3691082565160135,1.3654917999919804,1.3132797967424348
2020-10-03,3131.0,3057.0,3201.0,1.31,1.3,1.33,3221.285714285714,1.2775405907280144,4861.0,4772.0,4953.0,1.35,1.34,1.36,4656.285714285715,1.3592486213235295,1.3691082565160135,1.314312520602828
2020-10-04,3290.0,3218.0,3359.0,1.36,1.35,1.37,3498.5714285714284,1.3159167876149005,5016.0,4930.0,5107.0,1.32,1.31,1.32,4969.857142857143,1.3410868321217386,1.3592486213235295,1.3250179766580008
2020-10-05,3727.0,3654.0,3799.0,1.38,1.37,1.39,3792.1428571428573,1.347315819531696,5145.0,5057.0,5232.0,1.29,1.28,1.3,5321.142857142857,1.3236134766351482,1.3410868321217386,1.3406151320411468
2020-10-06,4082.0,4005.0,4161.0,1.39,1.38,1.4,4082.5714285714284,1.3654917999919804,5292.0,5197.0,5375.0,1.3,1.29,1.3,5728.428571428572,1.3132797967424348,1.3236134766351482,1.355987010295032
2020-10-07,4471.0,4389.0,4551.0,1.38,1.37,1.4,4370.285714285715,1.3691082565160135,5922.0,5823.0,6006.0,1.31,1.3,1.32,6194.142857142857,1.314312520602828,1.3132797967424348,1.3687899932473715
2020-10-08,4861.0,4772.0,4953.0,1.35,1.34,1.36,4656.285714285715,1.3592486213235295,6541.0,6433.0,6630.0,1.34,1.33,1.35,6711.285714285715,1.3250179766580008,1.314312520602828,1.379861048990667
2020-10-09,5016.0,4930.0,5107.0,1.32,1.31,1.32,4969.857142857143,1.3410868321217386,7322.0,7203.0,7428.0,1.37,1.35,1.37,7263.571428571428,1.3406151320411468,1.3250179766580008,1.3920852594300595
