date,number of reporting areas,COVID-19 cases,occupied intensive care beds,free intensive care beds,emergency reserve,intensive care patients with positive COVID-19 test,invasively ventilated,with treatment completed,thereof deceased,intensive care patients without positive COVID-19 test,in intensive care treatment (change from previous day),thereof invasively ventilated (change from previous day),with treatment completed (change from previous day),thereof deceased (change from previous day),newly admitted intensive care patients with a positive COVID-19 test,newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),intensive care patients with positive COVID-19 test (mean ±3 days),thereof invasively ventilated (mean ±3 days),invasively ventilated (%),Proportion of occupied intensive care beds (%),Proportion of occupied intensive care beds incl. emergency reserve (%),Proportion of patients with positive COVID-19 test in occupied intensive care beds (%),Proportion of patients with positive COVID-19 test in available intensive care beds without emergency reserve (%),Proportion of patients with positive COVID-19 test in available intensive care beds incl. emergency reserve (%),intensive care patients with positive COVID-19 test (change from previous day),"intensive care patients with positive COVID-19 test (change from previous day, mean ±3 days)",not invasively ventilated,invasively ventilated (change from previous day),invasively ventilated (mean ±3 days),number of intensive care beds,number of intensive care beds incl. emergency reserve,number of occupied intensive care beds (mean ±3 days),"with treatment completed (change from previous day, mean ±3 days)",R value calculated by newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test,calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),R value by calculated onset of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days)
2020-10-24,1670.0,1200.0,21421.0,7937.0,12762.0,1203.0,533.0,19541.0,4487.0,20221.0,82.0,55.0,147.0,26.0,229.0,241.0,1203.5714285714287,540.2857142857143,44.30590191188695,72.96477961714012,50.85707502374169,5.601979366042668,4.087471898630697,2.849002849002849,79.0,84.14285714285714,670.0,55.0,540.2857142857143,29358.0,42120.0,21385.14285714286,156.57142857142858,1.3869615832363211,400.0,399.14285714285717,1.0664861331590252
2020-10-25,1669.0,1294.0,20908.0,8386.0,12724.0,1296.0,578.0,19632.0,4500.0,19614.0,93.0,45.0,91.0,13.0,184.0,266.85714285714283,1293.0,588.8571428571429,44.598765432098766,71.37297740151567,49.75962682659812,6.189018557489955,4.4172868164129175,3.0796325384359085,94.0,89.42857142857143,718.0,45.0,588.8571428571429,29294.0,42018.0,21438.714285714286,177.42857142857142,1.3583754208754208,228.0,394.0,1.0134306832522084
2020-10-26,1669.0,1360.0,21025.0,8403.0,12693.0,1362.0,622.0,19757.0,4529.0,19665.0,66.0,44.0,125.0,29.0,191.0,277.85714285714283,1388.142857142857,641.2857142857142,45.66813509544787,71.44556204974853,49.91571900002374,6.468489892984543,4.621448960173984,3.2287932385271008,66.0,95.14285714285714,740.0,44.0,641.2857142857143,29428.0,42121.0,21483.285714285714,182.71428571428572,1.3416939996141228,404.0,428.42857142857144,1.0057491597381922
2020-10-27,1671.0,1468.0,21718.0,7681.0,12775.0,1470.0,688.0,20026.0,4570.0,20250.0,108.0,66.0,269.0,41.0,377.0,295.7142857142857,1490.7142857142858,704.2857142857142,46.802721088435376,73.87326099527195,51.49618248209797,6.7593701077447275,4.993367121330658,3.480817565324608,108.0,102.57142857142857,782.0,66.0,704.2857142857143,29399.0,42174.0,21475.428571428572,193.14285714285714,1.367660343270099,454.0,482.7142857142857,1.046766692989383
2020-10-28,1672.0,1569.0,21790.0,7546.0,12747.0,1569.0,764.0,20297.0,4603.0,20221.0,99.0,76.0,271.0,33.0,370.0,296.42857142857144,1596.5714285714287,771.5714285714287,48.693435309114086,74.27733842377965,51.778627949528314,7.200550711335476,5.348377420234525,3.7283463631395097,101.0,106.28571428571429,805.0,76.0,771.5714285714286,29336.0,42083.0,21459.0,190.57142857142858,1.3359073359073357,442.0,465.2857142857143,1.0851063829787233
2020-10-29,1670.0,1696.0,21785.0,7559.0,12740.0,1696.0,826.0,20508.0,4630.0,20089.0,127.0,62.0,211.0,27.0,338.0,312.0,1705.857142857143,844.1428571428571,48.70283018867924,74.24004907306434,51.76551658587587,7.7851732843699795,5.779716466739368,4.030035167759719,127.0,109.57142857142857,870.0,62.0,844.1428571428571,29344.0,42084.0,21465.428571428572,202.71428571428572,1.2817970565453138,649.0,477.2857142857143,1.154140353998043
2020-10-30,1668.0,1839.0,21681.0,7540.0,12727.0,1839.0,919.0,20746.0,4662.0,19842.0,143.0,93.0,238.0,32.0,381.0,349.7142857142857,1831.7142857142858,922.0,49.97281131049483,74.19663940316894,51.68542004386383,8.48208108482081,6.293419116388899,4.383999237150758,143.0,126.14285714285714,920.0,93.0,922.0,29221.0,41948.0,21450.571428571428,223.85714285714286,1.2621512798389418,802.0,488.7142857142857,1.1782604872042914
2020-10-31,1667.0,1944.0,21306.0,7726.0,12781.0,1944.0,1004.0,20875.0,4704.0,19362.0,105.0,85.0,129.0,42.0,234.0,364.42857142857144,1962.857142857143,1003.1428571428572,51.64609053497943,73.38798567098375,50.95544447898979,9.124190368910167,6.696059520529071,4.6492717575873534,105.0,130.28571428571428,940.0,85.0,1003.1428571428571,29032.0,41813.0,21417.0,233.28571428571428,1.2229854689564068,278.0,497.14285714285717,1.1315171835708298
2020-11-01,1666.0,2061.0,20953.0,7967.0,12791.0,2061.0,1086.0,21051.0,4752.0,18892.0,117.0,82.0,176.0,48.0,293.0,379.85714285714283,2102.4285714285716,1086.7142857142858,52.69286754002911,72.45159059474412,50.2337512886289,9.836300291127763,7.12655601659751,4.9411426242478,117.0,139.57142857142858,975.0,82.0,1086.7142857142858,28920.0,41711.0,21403.14285714286,240.28571428571428,1.2367429002261878,312.0,498.2857142857143,1.1078834826111514
2020-11-02,1668.0,2243.0,20921.0,7893.0,12868.0,2243.0,1167.0,21324.0,4813.0,18678.0,182.0,81.0,273.0,61.0,455.0,389.85714285714283,2239.1428571428573,1171.857142857143,52.02853321444494,72.60706600957867,50.19192936999184,10.721284833420965,7.784410356076907,5.381219711146298,182.0,136.71428571428572,1076.0,81.0,1171.857142857143,28814.0,41682.0,21393.571428571428,253.14285714285714,1.2553782934493594,484.0,471.57142857142856,1.0550246609124538
